series,season,title,subtitle,title_pic,inbound_ill,release,maincharacters,eventtimeframe,locations,release_year,author_pos,author,gender
Band 1613,Die Ennox,Die Suche nach Paunaro,Der Flug in die Raumzeitfalte – die Haluter erwartet das Grauen,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 23. Juli 1992","Icho Tolot, Lingam Tennar, Sato Ambush, Paunaro, Striffa, Sinta",Juni 1200 NGZ,Milchstraße,1992.0,a1,H. G. Francis,male
Band 1614,Die Ennox,Beauloshairs Netz,Sie sind die Herrscher einer Galaxis – und verwalten ein furchtbares Erbe,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 30. Juli 1992","Beauloshair, Heleomesharan, Grel, Gruk, Wirad, Grender, Coush","596.070–170.620 v. Chr., 1119 NGZ",Noheyrasa,1992.0,a1,Arndt Ellmer,male
Band 1615,Die Ennox,Jaobouramas Opfergang,Ein großes Volk am Scheideweg – aus Riin werden Sriin,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 6. August 1992","Jaobourama, Beauloshair, Heleomesharan, Shanorathemas, Coush, Bolo, Fresh",1119–1159 NGZ,Noheyrasa,1992.0,a1,Arndt Ellmer,male
Band 1616,Die Ennox,Experimente im Hyperraum,Rückkehr nach M 3 – der Vorstoß in die 5. Dimension,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 13. August 1992","Boris Siankow, Sato Ambush, Icho Tolot, Lingam Tennar, Paunaro, Perry Rhodan",Juni 1200 NGZ,"Milchstraße, M 3",1992.0,a1,Kurt Mahr,male
Band 1617,Die Ennox,Die Akonin,Sie spielt mit Perry Rhodan – im Angesicht der Apokalypse,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 20. August 1992","Perry Rhodan, Sato Ambush, Myles Kantor, Henna Zarphis, Voltago",1. – 15. Juli 1200 NGZ,Milchstraße,1992.0,a1,Robert Feldhoff,male
Band 1618,Die Ennox,Panik,Hysterie im Solsystem – die Angst vor der neuen Toten Zone,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 27. August 1992","Perry Rhodan, Careful Menetekel, Gucky, Yankipoora*, Zornatur, Henna Zarphis",Juli 1200 NGZ,Milchstraße,1992.0,a1,Peter Griese,male
Band 1619,Die Ennox,Krisenherd Bolan,Die neue Tote Zone entsteht – und Arkons Gegner triumphieren,Johnny Bruck,Johnny Bruck,"Donnerstag, 3. September 1992","Perry Rhodan, Yart Fulgen, Tenesch von Valvaar, Daccran von Umayn, Henna Zarphis",2. – 15. August 1200 NGZ,"Milchstraße, M 13",1992.0,a1,Horst Hoffmann,male
Band 162,Das Zweite Imperium,Der Pakt mit dem Tod,Eine Automatik entführt sie – ein Monster gibt ihnen die letzte Chance …,Johnny Bruck,Johnny Bruck / 4. Auflage,"Freitag, 9. Oktober 1964","Brent Firgolt, Claude Collignot, Elmer Warren, Aldo Kopenziack, Perry Rhodan, Atlan, Oberst Kors Dantur, Peterle",2326-2327,"Euhja, das Weltall",1964.0,a1,William Voltz,male
Band 1620,Die Ennox,Affraitancars Uhrwerk,Sie suchen Asyl – und erschaffen das System der 67 Planeten,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 10. September 1992","Colounshaba, Pulandiopoul, Affraitancar, General Croosa, Die Llallanee",1159–1179 NGZ,"Aemelonga, Rauppathebbe",1992.0,a1,Ernst Vlcek,male
Band 1621,Die Ennox,Colounshabas Waffe,Die Sriin kehren zurück – die Arcoana greifen zum letzten Mittel,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 17. September 1992","Colounshaba, Babbashabar, Boloshambwer, Chef Karlin, Phaourongusta",1179–1200 NGZ,Sheokor-System,1992.0,a1,Ernst Vlcek,male
Band 1622,Die Ennox,Der Verlorene,Mit der GECKO in der Provcon-Faust – wer ist der Mann ohne Erinnerung?,Johnny Bruck,Johnny Bruck,"Donnerstag, 24. September 1992","Gucky, Alaska Saedelaere, »Oma« Selma Laron, Ed Morris, Felix, Nadja und Mila",Mitte Juli 1200 NGZ,"Provcon-Faust, Gäa",1992.0,a1,Clark Darlton,male
Band 1623,Die Ennox,Dimension des Grauens,Alarm für Arkon und Ariga – die Geisterschiffe kommen,Johnny Bruck,Johnny Bruck,"Donnerstag, 1. Oktober 1992","Atlan, Philip, Gherada Ipharsyn, Perry Rhodan, Myles Kantor, Yart Fulgen",16. – 30. August 1200 NGZ,Arkon-System,1992.0,a1,Peter Terrid,male
Band 1624,Die Ennox,In der Wechselzone,Neue Ennox-Schwemme in der Galaxis – und Ronald Tekeners Entdeckung auf Accaro III,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 8. Oktober 1992","Perry Rhodan, Salomon, Rebecca, Ronald Tekener, Garra-Noc-S'ley, Zeppe-Fao-F'ay",1. – 14. September 1200 NGZ,"Accaro III, Galaktikum",1992.0,a1,H. G. Francis,male
Band 1625,Die Ennox,Botschaft von ES,Ernst Ellert ruft die Spiegelgeborenen – sie sollen die Unsterblichkeit empfangen,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 15. Oktober 1992","Reuben Shayn, Zigmond, Reginald Bull, Philip, Ernst Ellert, Voltago",16. – 30. September 1200 NGZ,Solsystem,1992.0,a1,Kurt Mahr,male
Band 1626,Die Ennox,Qeyonderoubos Aufstieg,Ein Segen wird zum Fluch – zehntausend Sriin im Sheokorsystem gefangen,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 22. Oktober 1992","Qeyonderoubo, Colounshaba, Xhanshurobar, Clymosterosh, Affraitancar",Anfang 1200 NGZ,Sheokor-System,1992.0,a1,Robert Feldhoff,male
Band 1627,Die Ennox,Die Arcoana am Scheideweg,Sein Volk steht vor dem Untergang – und er erkennt seine Bestimmung,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 29. Oktober 1992","Qeyonderoubo, Kalcadurionenser, Colounshaba, Clymosterosh, Mizmohair",Mitte Mai 1200 NGZ,Sheokor-System,1992.0,a1,Robert Feldhoff,male
Band 1628,Die Ennox,Kristall aus dem Nichts,Die Blaue Schlange der Akonen – nur ein uralter Roboter kennt ihr Geheimnis,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 5. November 1992","Barro Nurtian, Harian Meklos, Accoma, Atlan, Philip",3. August – 14. Oktober 1200 NGZ,Jimmerin,1992.0,a1,Arndt Ellmer,male
Band 1629,Die Ennox,Die Blaue Schlange,Neuer Run auf die Unsterblichkeit – auch die MAGENTA erscheint im Solsystem,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 12. November 1992","Henna Zarphis, Alnora Deponar, Tadar Deponar, Gendal Jumphar, Saudra Panolo, Perry Rhodan",1200 NGZ,Solsystem,1992.0,a1,H. G. Francis,male
Band 163,Das Zweite Imperium,Das zweite Imperium,Die Raumflotten zweier Imperien stoßen aufeinander – und Gucky landet im Mikrokosmos …,Johnny Bruck,Johnny Bruck / 4. Auflage,"Freitag, 16. Oktober 1964","Perry Rhodan, Peterle, Reginald Bull, Gucky, Ras Tschubai, Major Bergier, Dr. Kärntner",2327,"Das Weltall, Grenze der beiden Imperien",1964.0,a1,Clark Darlton,male
Band 1630,Die Ennox,Geheimmission der XENOLITH,Gucky und sein Team – auf dem Weg zum System der Ennox,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 19. November 1992","Gucky, Felix, Alaska Saedelaere, Heimo Gullik, Tipania, Megananny, Curious",1200 NGZ,"Gäa, NGC 7793",1992.0,a1,Peter Griese,male
Band 1631,Die Ennox,Jäger der Unsterblichkeit,Sie begehren das Ewige Leben – und finden den Tod in sich selbst,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 26. November 1992","Arno Muller, Humphry, Helgundy Khatanassiou, Gureod, Perry Rhodan",1200 NGZ,Solsystem,1992.0,a1,Peter Terrid,male
Band 1632,Die Ennox,Botschaft aus der Raumzeitfalte,Sie empfangen die Warnung – eine fremde Macht drängt in das Universum,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 3. Dezember 1992","Boris Siankow, Myles Kantor, Roi Danton, Xii-Gien-Qek, Traisor Bagemot, Uschi",1200 NGZ,"M 3, Panot-Sektor",1992.0,a1,Kurt Mahr,male
Band 1633,Die Ennox,Eine Falle für die MAGENTA,Akonen im Stouvan-Sektor – das ATK greift ein,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 10. Dezember 1992","Yeni Zynok, Tephar Alropis, Keskidi, Rebecca, Yart Fulgen, Perry Rhodan",1200 NGZ,Humanidrom,1992.0,a1,Arndt Ellmer,male
Band 1634,Die Ennox,Das Schwert der Akonen,Verrat auf Siga – die ganze Galaxis ist bedroht,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 17. Dezember 1992","Armira Proket, Frido Aslan, XS-2004, Poppotok Tkok, Perry Rhodan, Lemy",1200 NGZ,Siga,1992.0,a1,H. G. Francis,male
Band 1635,Die Ennox,Schach der Blauen Schlange,Auf der Spur der MAGENTA – ein Mond wird zum Brennpunkt,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 24. Dezember 1992","Perry Rhodan, Henna Zarphis, Ronac, Corto Horrigan, Syla Poupin, Moran Rautar",1200 NGZ,Taarnor-System,1992.0,a1,Robert Feldhoff,male
Band 1636,Die Ennox,Die letzte Etappe,Flugziel NGC 7793 – die Entscheidung fällt auf Guckys Rast,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 31. Dezember 1992","Gucky, Felix, Heimo Gullik, Tipania, Megananny, Curious, Philip",Oktober 1200 NGZ bis Januar 1201 NGZ,"Guckys Rast, NGC 7793",1992.0,a1,Peter Griese,male
Band 1637,Die Ennox,Gefangene der Zeit,Sie sind verirrt zwischen den Pararealitäten – ein Bericht aus dem Jenseits,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 7. Januar 1993","Perry Rhodan, Sato Ambush, Myles Kantor, Tarc Bottam, Paunaro, Icho Tolot, Lingam Tennar",1200 NGZ,ODIN,1993.0,a1,Peter Griese,male
Band 1638,Die Ennox,In Sintas Bann,Die Geistesmacht rekrutiert ihre Sklaven – zum Sturm aufs Universum,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 14. Januar 1993","Icho Tolot, Lingam Tennar, Paunaro, Sinta, Lounghar, Tarc Bottam",1200 NGZ,Raumzeitfalte in M 3,1993.0,a1,H. G. Francis,male
Band 1639,Die Ennox,Signale aus NGC 6503,Nur ein Nakk kann die Zeichen deuten – die Quelle der Toten Zone wird gefunden,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 21. Januar 1993","Boris Siankow, Xii-Gien-Qek, Myles Kantor, Paunaro, Reginald Bull",Februar - März 1201 NGZ,"Panot-Sektor, Solsystem",1993.0,a1,Kurt Mahr,male
Band 164,Das Zweite Imperium,Im Banne des Riesenplaneten,Bomben auf die Sonne von Herkules – das ist die letzte Chance für die Galaxis,Johnny Bruck,Johnny Bruck / 4. Auflage,"Freitag, 23. Oktober 1964","Tyll Leyden, Gaston Robet, Sascha Populos, Mungs, Players, Mussol, Perry Rhodan, Reginald Bull",2326-2327,Impos,1964.0,a1,Kurt Brand,male
Band 1640,Die Ennox,Griff nach Arkon,Ein Springerschiff bringt den Tod – eine Gejagte wird zur Jägerin,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 28. Januar 1993","Srim Tennek, Dilja Mowak, Poppan Chal-Nezra, Atlan, Norman",April 1201 NGZ,Arkon-System,1993.0,a1,H. G. Ewers,male
Band 1641,Die Ennox,Symbiose,250 todkranke Ennox – im Bann einer phantastischen Welt,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 4. Februar 1993","Perry Rhodan, Noruu, Laas, Mariaan ten Segura, Philip",Februar 1201 NGZ,Frara-System,1993.0,a1,Horst Hoffmann,male
Band 1642,Die Ennox,Der Planet der Ennox,Sie landen auf der verbotenen Welt – und stoßen auf ein faszinierendes Wunder,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 11. Februar 1993","Perry Rhodan, Philip, Claudia, Mertus Wenig, Danilo Terborg, Ester Glandhar",20. – 26. März 1201 NGZ,Enno-System,1993.0,a1,Horst Hoffmann,male
Band 1643,Die Ennox,Psychospiel auf Akon,Michael Rhodan zeigt Nerven – der Friedensplan tritt in Kraft,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 18. Februar 1993","Michael Rhodan, Cailman Tzyk, Arinu Barras, Lothea Vilgor, Alnora Deponar",1201 NGZ,Akon,1993.0,a1,Peter Terrid,male
Band 1644,Die Ennox,Sturm auf Wanderer,Sie halten sich für Spiegelgeborene – auf der Welt des Unsterblichen,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 25. Februar 1993","Alnora Deponar, Henna Zarphis, Gendal Jumphar, Ronald Tekener, Michael Rhodan, Clare, Alpar, Hark",Juni 1201 NGZ,"Wanderer, Solsystem",1993.0,a1,H. G. Francis,male
Band 1645,Die Ennox,Operation Draco,Reginald Bull will Vergeltung – die Drachenflotte startet,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 4. März 1993","Reginald Bull, Qeyonderoubo, Paunaro, Myles Kantor, Colounshaba",Mai - Juli 1201 NGZ,Sheokor-System,1993.0,a1,Robert Feldhoff,male
Band 1646,Die Ennox,Finale im Sheokorsystem,Galaktiker im Reich der Arcoana – der Kreis schließt sich,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 11. März 1993","Reginald Bull, Perry Rhodan, Qeyonderoubo, Colounshaba, Pulandiopoul, Shanorathemas, Philip",1201 NGZ,"NGC 6503, Sheokorsystem",1993.0,a1,Arndt Ellmer,male
Band 1647,Die Ennox,Der letzte Schlag,Die Fanatiker der Blauen Legion – sie planen ihren entscheidenden Angriff,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 18. März 1993","Barro Nurtian, Nadu Imeiri, Atlan, Senktar von Ippezal, Tupar Huaynac",1201 NGZ,"Milchstraße, Arkon I, Jimmerin",1993.0,a1,Kurt Mahr,male
Band 1648,Die Ennox,Die Spiegelgeborenen,Es beginnt auf Zwottertracht – und endet auf Wanderer,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 25. März 1993","Gucky, Alaska Saedelaere, Felix, Cadfael Benek, Ernst Ellert",1201 NGZ,"Solsystem, Wanderer",1993.0,a1,Ernst Vlcek,male
Band 1649,Die Ennox,Projekt Coma,Treffpunkt im Solsystem – sie fliegen in die Unendlichkeit,Johnny Bruck,Johnny Bruck (3 x),"Donnerstag, 1. April 1993","Philip, Perry Rhodan, Mila Vandemar, Nadja Vandemar, Voltago, Homer G. Adams",1201–1202 NGZ,"NGC 6503, Sheokor-System, Milchstraße, Sol-System",1993.0,a1,Robert Feldhoff,male
Band 165,Das Zweite Imperium,Kontaktschiff Terrania,Sie suchen Freundschaft – und erwarten den Tod …,Johnny Bruck,Johnny Bruck (1 x) / 4. Auflage,"Freitag, 30. Oktober 1964","Tyll Leyden, Perry Rhodan, Major Fils Crouget, Dr. Salor Neev, Peterle, Ooff",2327,"Terra, das Weltall, Tombstone",1964.0,a1,Kurt Brand,male
Band 1650,Die Große Leere,Flugziel Große Leere,Expedition in Richtung Coma Berenices – auf der Spur des großen Rätsels,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 8. April 1993","Perry Rhodan, Robert Gruener, Arlo Rutan, Harold Nyman, Mila und Nadja Vandemar",27. Oktober 1202 NGZ bis 14. Januar 1206 NGZ,BASIS im intergalaktischen Leerraum,1993.0,a1,Horst Hoffmann,male
Band 1651,Die Große Leere,Am Rand der Großen Leere,Das Geheimnis der Akkretionsscheibe – sie finden die Totengleiter,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 15. April 1993","Perry Rhodan, Henna Zarphis, Senta Gorgus, Eneaphus Avenquerius, Voltago",Januar 1206 NGZ,Pulsar Borgia,1993.0,a1,H. G. Francis,male
Band 1652,Die Große Leere,Im Netz des Quidor,Reginald Bull im Wettkampf der Geister – er spielt das Spiel der Vollendung,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 22. April 1993","Reginald Bull, Joara Clayton, Malassir, Norman Fallar, Enzio Ribera",18. – 31. Januar 1206 NGZ,Lakoor-System,1993.0,a1,Susan Schwartz,female
Band 1653,Die Große Leere,Randwelt der Rätsel,Die Ertruser sind auf dem Kriegspfad – und stoßen auf das Erbe der Raunach,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 29. April 1993","Arlo Rutan, Dilja Mowak, Dunee, Meg Fothern, Bonong Santuk",Januar/Februar 1206 NGZ,Vichin-System,1993.0,a1,H. G. Ewers,male
Band 1654,Die Große Leere,Das Versagen der Ennox,Auf den Spuren des Kosmischen Rätsels – die Terraner starten ein Experiment,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 6. Mai 1993","Gucky, Philip, Perry Rhodan, Atlan, Shauny Target",Februar 1206 NGZ,Sypphel und nahe Pulsar Borgia,1993.0,a1,Peter Griese,male
Band 1655,Die Große Leere,Sampler 1,Haluter auf einer unglaublichen Welt – die Drangwäsche bricht aus,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 13. Mai 1993","Koul Laffal, Icho Tolot, Tarc Bottam, Muron Preyll, Paunaro, Perry Rhodan, Kandulf",März 1206 NGZ,Tachant und Noman,1993.0,a1,Arndt Ellmer,male
Band 1656,Die Große Leere,20 von Ertrus,Sie suchen den Ort des Gleichgewichts – und versetzen eine Welt in Aufruhr,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 20. Mai 1993","Perry Rhodan, Lyndara, Mattrasan, Icho Tolot, Myles Kantor",März 1206 NGZ,Noman,1993.0,a1,Peter Terrid,male
Band 1657,Die Große Leere,SOS für Mystery,Expedition der Springer – ein Patriarch wittert das große Geschäft,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 27. Mai 1993","Homer G. Adams, Mordrer Keyn Haitabu, Lyndara, Doc Mizzuk, Claudia",20. März - 1. Mai 1206 NGZ,Mystery,1993.0,a1,Horst Hoffmann,male
Band 1658,Die Große Leere,Lyndaras Kämpfer,Gefährliche Fracht von Mystery – Ertruser proben den Aufstand,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 3. Juni 1993","Mordrer Keyn Haitabu, Lyndara, Homer G. Adams, Pia Starrow, Boris Siankow",Juni – August 1206 NGZ,"Terra, Titan, verschiedene Orte",1993.0,a1,Robert Feldhoff,male
Band 1659,Die Große Leere,Falsches Spiel auf Makkom,Die Galactic Guardians werden aktiv – und die Aktivator-Jagd beginnt,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 10. Juni 1993","Ronald Tekener, Trynt, Karlanczer, Lyndara, Homer G. Adams",Oktober 1206 NGZ,"Neu-Paricz, Makkom",1993.0,a1,H. G. Francis,male
Band 166,Das Zweite Imperium,Im Labyrinth von Eysal,Wissenschaftler werden zu Soldaten – in der Todesfalle der Blues,Johnny Bruck,Johnny Bruck (2 x) / 4. Auflage,"Freitag, 6. November 1964","John Pohl, Christoph Warren, Karen Isot, Gil Krueger, Paddie Irish, Kal Jennings, Fred Winsell, Kody",2327,Eysal,1964.0,a1,Kurt Mahr,male
Band 1660,Die Große Leere,Die Todesengel von Hangay,Er bringt den Frieden – und erntet den Tod,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 17. Juni 1993","Julian Tifflor, Ronald Tekener, Dao-Lin-H'ay, Lyndara, Pertury, Zopran",November 1206 NGZ,Hangay,1993.0,a1,Ernst Vlcek,male
Band 1661,Die Große Leere,Tabuplanet Shaft,Auf einem von 21 Samplern – sie finden den Schacht ins Nichts,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 24. Juni 1993","Keith Junker, Donald Hagen, Norman Bliss, Philip, Perry Rhodan, Jan Ceribo, Xii-Gien-Qek",März – November 1206 NGZ,"Pulsar Borgia, Shaft",1993.0,a1,Kurt Mahr,male
Band 1662,Die Große Leere,Welt ohne Schatten,Die KAHALO im Einsatz – Reginald Bull verletzt ein Tabu,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 1. Juli 1993","Reginald Bull, Joara Clayton, Michael Rhodan, Quangquarrl",20. April bis 15. November 1206 NGZ,Tornister,1993.0,a1,Susan Schwartz,female
Band 1663,Die Große Leere,Insel der Schatten,Ein geheimnisvoller See – und eine Welt sinnloser Kämpfe,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 8. Juli 1993","Klundan, Haudegen, Abillerhell, Pronteros, Reginald Bull, Michael Rhodan",November 1206 NGZ,Tornister,1993.0,a1,Peter Griese,male
Band 1664,Die Große Leere,Der Henker von Sloughar,Er kennt nur ein Gesetz – und seine Strafe ist der Tod,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 15. Juli 1993","Gucky, Alaska Saedelaere, Fopper, Swera Selimowa, Kress",Dezember 1206 NGZ,Sloughar,1993.0,a1,Peter Terrid,male
Band 1665,Die Große Leere,Boccus Traum,Die Expedition nach Trantar – Perry Rhodan begegnet den Tranach,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 22. Juli 1993","Perry Rhodan, Boccu, Icho Tolot, Mila Vandemar, Nadja Vandemar, Voltago",Oktober – Dezember 1206 NGZ,Trantar,1993.0,a1,Horst Hoffmann,male
Band 1666,Die Große Leere,Der weite Horizont,Das Geheimnis der Alten Kraft – und Voltagos Schritt ins Nichts,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 29. Juli 1993","Boccu, Perry Rhodan, Henna Zarphis, Mila Vandemar, Nadja Vandemar, Voltago",Dezember 1206 NGZ – 15. Januar 1207 NGZ,Trantar,1993.0,a1,Horst Hoffmann,male
Band 1667,Die Große Leere,Die Früchte des Wissens,Er träumt vom Jenseits-Land – Atlan begeht einen tödlichen Fehler,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 5. August 1993","Atlan, Niisu, Cessie Briehm, Aktet Pfest, Philip",Anfang 1207 NGZ,Canaxu,1993.0,a1,Robert Feldhoff,male
Band 1668,Die Große Leere,Die Türme von Canaxu,Atlan im Land der Trepeccos – im Bann sinnloser Bauwut,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 12. August 1993","Niisu, Hapt, Atlan, Colounshaba, Myles Kantor",Februar 1207 NGZ,Canaxu,1993.0,a1,Robert Feldhoff,male
Band 1669,Die Große Leere,Der Kyberklon,Das Ultimatum der Wächter – Perry Rhodan kommt in Zugzwang,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 19. August 1993","Perry Rhodan, Voltago, Mila Vandemar, Nadja Vandemar, Jagomir »Jagg« Fremon, Bwosy",März 1207 NGZ,Shaft,1993.0,a1,Ernst Vlcek,male
Band 167,Das Zweite Imperium,Spione von der Erde,Ein Raumkreuzer auf Experimentalkommando! – Menschen verwandeln sich in Blues!,Johnny Bruck,Johnny Bruck (1 x) / 4. Auflage,"Freitag, 13. November 1964","Major Torav Drohner, Allan D. Mercant, Tako Kakuta, Fellmer Lloyd, Hauka Leroy, Hürüt Iirp, Ipotheey, Iül-Theer-Hij",2327,"Terra, Apas, Kohnla",1964.0,a1,Kurt Mahr,male
Band 1670,Die Große Leere,Das Tribunal,Sie wollen verhandeln – doch das Gesetz ist unerbittlich,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 26. August 1993","Perry Rhodan, Siodor Thean, Henna Zarphis, Ljany, Dilja Mowak",1207 NGZ,Mora- und Cruyon-System,1993.0,a1,H. G. Ewers,male
Band 1671,Die Große Leere,Fluchtpunkt Mars,Hetzjagd im Sonnensystem – Lyndara kämpft um ihre Freiheit,Johnny Bruck,Johnny Bruck,"Donnerstag, 2. September 1993","Lyndara, Boris Siankow, Homer G. Adams, Ilmas Poll, Elvira Donja",Juli 1207 NGZ,Solsystem,1993.0,a1,Arndt Ellmer,male
Band 1672,Die Große Leere,Ennox-Jagd,Sie krempeln Mystery um – auf der Suche nach dem Schlüssel,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 9. September 1993","Homer G. Adams, Urskan Szoszowosky, Zitha, Scricor, Passuba",1207 NGZ,Mystery,1993.0,a1,H. G. Francis,male
Band 1673,Die Große Leere,Die Offenbarung der Veego,Die Ennox lüften ihr Geheimnis – die Geschichte eines unglaublichen Volkes,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 16. September 1993","Homer G. Adams, Boris Siankow, Alpari, Yevo, Sandev, Zitha",1.–5. Oktober 1207 NGZ,Mystery,1993.0,a1,Susan Schwartz,female
Band 1674,Die Große Leere,Freunde der Ennox,Auf den Spuren der Vergangenheit – ein Rätsel wird gelüftet,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 23. September 1993","Ronald Tekener, Emil, Rita, Boris Siankow, Djardu, Penolp, Zaligo",5. – 15. Oktober 1207 NGZ,"Mystery, Droph, Punkt Zaligo",1993.0,a1,Peter Griese,male
Band 1675,Die Große Leere,Kontakt bei Borgia,Arlo Rutans Truppe im Einsatz – gegen die Theans,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 30. September 1993","Perry Rhodan, Siodor Thean, Illinor Thean, Arlo Rutan, Kjoster Nylldarg, Leonod Lagusto",Oktober / November 1207 NGZ,Pulsar Borgia,1993.0,a1,Peter Griese,male
Band 1676,Die Große Leere,Im Gravo-Kubus,Rückkehr nach Noman – zur Falle der Schwerkraftwelt,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 7. Oktober 1993","Perry Rhodan, Siodor Thean, Voltago, Nadja Vandemar,Mila Vandemar,  Nosrein",November 1207 NGZ,"Pulsar Borgia, Noman",1993.0,a1,Peter Terrid,male
Band 1677,Die Große Leere,Durchgang zur Spiegelwelt,Die Vandemar-Zwillinge sind im Einsatz – und Voltago nimmt seine Chance wahr,Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 14. Oktober 1993","Voltago, Nadja und Mila Vandemar, Perry Rhodan, Drolphyn, Nosrein",November 1207 NGZ,"Noman, Die Große Leere",1993.0,a1,Robert Feldhoff,male
Band 1678,Die Große Leere,Im Brennpunkt der Spindeln,"Arcoana, Haluter und Terraner – sie erkennen das neue Ziel",Johnny Bruck,Johnny Bruck (1 x),"Donnerstag, 21. Oktober 1993","Colounshaba, Pulandiopoul, Myles Kantor, Philip, Voltago, Nadja Vandemar, Mila Vandemar",Dezember 1207 NGZ / Januar 1208 NGZ,"Pulsar Borgia, Charon",1993.0,a1,Arndt Ellmer,male
Band 1679,Die Große Leere,Der Dunkelplanet,Eine Welt unter Eis – und das Spiel einer unheimlichen Macht,Johnny Bruck,Johnny Bruck (2 x),"Donnerstag, 28. Oktober 1993","Perry Rhodan, Atlan, Icho Tolot, Robert Gruener, Nadja Vandemar, Mila Vandemar",Januar 1208 NGZ,"Charon, Pulsar Borgia",1993.0,a1,Horst Hoffmann,male
Band 168,Das Zweite Imperium,Die Eisfalle,Sein Name ist in den Annalen der Geschichte nicht verzeichnet – doch seine Tat ist beispielhaft …,Johnny Bruck,Johnny Bruck (5 x) / 4. Auflage,"Freitag, 20. November 1964","Don Kilmacthomas, Oberst Mos Hakru, Sergeant Wallaby, Perry Rhodan, Oberst Joe Nomers, Leclerc",Juni 2327,"ESS-1, Verth-System",1964.0,a1,William Voltz,male
Band 1680,Die Große Leere,Moira,In der Galerie der Erinnerungen – eine Kriegerin erzählt ihre Geschichte,Johnny Bruck,Johnny Bruck,"Donnerstag, 4. November 1993","Moira, Perry Rhodan, Atlan, Mila Vandemar, Icho Tolot",24. – 31.  Januar 1208 NGZ,Charon,1993.0,a1,Ernst Vlcek,male
